datetime,energy_mwh
2024-12-27 11:00:00,4281
2024-12-27 12:00:00,4460
2024-12-27 13:00:00,4266
2025-02-08 11:00:00,4382
2025-02-08 12:00:00,4349
2025-03-04 09:00:00,4340
2025-03-04 10:00:00,4329
2025-03-05 09:00:00,4385
2025-03-19 09:00:00,4264
2025-06-29 09:00:00,4301
2025-06-30 10:00:00,4494
2025-06-30 11:00:00,4626
2025-06-30 12:00:00,4341
2025-06-30 13:00:00,4461
2025-06-30 14:00:00,4464
2025-06-30 15:00:00,4444
2025-07-02 12:00:00,4271
2025-07-02 13:00:00,4282
2025-07-03 11:00:00,4518
2025-07-03 12:00:00,4633
2025-07-03 13:00:00,4598
2025-07-03 14:00:00,4461
2025-07-03 15:00:00,4375
2025-07-04 11:00:00,4431
2025-07-04 12:00:00,4640
2025-07-04 13:00:00,4734
2025-07-04 14:00:00,4685
2025-07-04 15:00:00,4560
2025-07-09 12:00:00,4300
2025-07-09 13:00:00,4606
2025-07-09 14:00:00,4724
2025-07-09 15:00:00,4590
2025-07-09 16:00:00,4414
2025-07-14 13:00:00,4251
2025-07-15 11:00:00,4412
2025-07-15 12:00:00,4669
2025-07-15 13:00:00,4849
2025-07-15 14:00:00,4832
2025-07-15 15:00:00,4574
2025-07-16 11:00:00,4288
2025-07-16 12:00:00,4329
2025-07-16 13:00:00,4365
2025-07-16 14:00:00,4260
2025-07-26 10:00:00,4253
2025-07-26 11:00:00,4575
2025-07-26 12:00:00,4731
2025-07-26 13:00:00,4791
2025-07-26 14:00:00,4758
2025-07-26 15:00:00,4559
2025-07-26 16:00:00,4285
2025-08-07 09:00:00,4665
2025-08-07 10:00:00,4784
2025-08-07 11:00:00,4351
2025-08-08 09:00:00,4641
2025-08-08 11:00:00,4465
2025-08-08 12:00:00,4534
2025-08-08 13:00:00,4576
2025-08-08 15:00:00,4383
2025-08-08 16:00:00,4493
2025-08-08 17:00:00,4554
2025-08-11 10:00:00,4372
2025-08-11 11:00:00,4261
2025-08-11 15:00:00,4562
2025-08-11 16:00:00,4684
2025-08-11 17:00:00,4383
2025-08-12 09:00:00,4513
2025-08-12 10:00:00,4424
2025-08-12 14:00:00,4253
2025-08-12 15:00:00,4453
2025-08-12 16:00:00,4997
2025-08-12 17:00:00,4780
2025-08-13 09:00:00,4300
2025-08-13 15:00:00,4409
2025-08-13 16:00:00,4380
2025-10-27 13:00:00,4467
2025-10-27 14:00:00,4334
2025-12-30 11:00:00,4553
2025-12-30 12:00:00,4407
2026-01-03 11:00:00,4310
2026-01-04 10:00:00,4331
2026-01-04 11:00:00,4701
2026-01-04 12:00:00,4807
2026-01-04 13:00:00,4540
2026-01-04 14:00:00,4418
2026-01-04 15:00:00,4282
2026-01-07 12:00:00,4366
2026-01-07 13:00:00,4259
2026-01-08 10:00:00,4589
2026-01-08 12:00:00,4370
2026-01-08 13:00:00,4699
2026-01-08 14:00:00,4685
2026-01-08 15:00:00,4379
